High School DxD Hero,Matsuda,Supporting,Takumi, Yasuaki
High School DxD Hero,Motohama,Supporting,Nakakuni, Takurou
High School DxD Hero,Murayama,Supporting,Ishihara, Kaori
High School DxD Hero,Saji, Genshirou,Supporting,Phillips, Kyle
Wotaku ni Koi wa Muzukashii,Momose, Narumi,Main,Date, Arisa
Wotaku ni Koi wa Muzukashii,Nifuji, Hirotaka,Main,Itou, Kento
Wotaku ni Koi wa Muzukashii,Kabakura, Tarou,Supporting,Sugita, Tomokazu
Wotaku ni Koi wa Muzukashii,Koyanagi, Hanako,Supporting,Sawashiro, Miyuki
Wotaku ni Koi wa Muzukashii,Nifuji, Naoya,Supporting,Kaji, Yuki
Wotaku ni Koi wa Muzukashii,Sakuragi, Kou,Supporting,Yuuki, Aoi
Persona 5 the Animation,Akechi, Goro,Main,Hoshi, Soichiro
Persona 5 the Animation,Amamiya, Ren,Main,Fukuyama, Jun
Persona 5 the Animation,Kitagawa, Yusuke,Main,Sugita, Tomokazu
Persona 5 the Animation,Morgana,Main,Ootani, Ikue
Persona 5 the Animation,Niijima, Makoto,Main,Satou, Rina
Persona 5 the Animation,Okumura, Haru,Main,Tomatsu, Haruka
Persona 5 the Animation,Sakamoto, Ryuuji,Main,Miyano, Mamoru
Persona 5 the Animation,Sakura, Futaba,Main,Yuuki, Aoi
Persona 5 the Animation,Takamaki, Ann,Main,Mizuki, Nana
Persona 5 the Animation,Igor,Supporting,Tsukayama, Masane
Persona 5 the Animation,Iwai, Munehisa,Supporting,Egawa, Hisao
Persona 5 the Animation,Mishima, Yuuki,Supporting,Sakaguchi, Daisuke
Persona 5 the Animation,Nakanohara, Natsuhiko,Supporting,Fukagawa, Kazumasa
Persona 5 the Animation,Nakaoka,Supporting,Iwase, Shuuhei
Persona 5 the Animation,Niijima, Sae,Supporting,Kaida, Yuuko
Persona 5 the Animation,Suzui, Shiho,Supporting,Sato, Akemi
Persona 5 the Animation,Takeishi,Supporting,Kobayashi, Naoto
Persona 5 the Animation,Ushimaru,Supporting,Matsumoto, Daisuke
Megalo Box,Joe,Main,Hosoya, Yoshimasa
Megalo Box,Fujimaki,Supporting,Kinoshita, Hiroyuki
Megalo Box,Nanbu, Gansaku,Supporting,Saitou, Shirou
Megalo Box,Sachio,Supporting,Murase, Michiyo
Megalo Box,Shirato, Yukiko,Supporting,Mori, Nanako
Megalo Box,Yuuri,Supporting,Yasumoto, Hiroki
Tada Never Falls in Love,Charles,Main,N/A
Tada Never Falls in Love,Tada, Mitsuyoshi,Main,Nakamura, Yuuichi
Tada Never Falls in Love,Wagner, Teresa,Main,Iwami, Manaka
Tada Never Falls in Love,Hasegawa, Hinako,Supporting,Ishigami, Shizuka
Tada Never Falls in Love,Ijuuin, Kaoru,Supporting,Miyano, Mamoru
Tada Never Falls in Love,Magritte, Alexandra,Supporting,Shimoji, Shino
Tada Never Falls in Love,Sugimoto, Hajime,Supporting,Umehara, Yuuichirou
Tada Never Falls in Love,Tada, Yui,Supporting,Minase, Inori
Tada Never Falls in Love,Yamashita, Kentarou,Supporting,Shimono, Hiro
3D Kanojo: Real Girl,Igarashi, Iroha,Main,Serizawa, Yuu
3D Kanojo: Real Girl,Tsutsui, Hikari,Main,Uenishi, Teppei
3D Kanojo: Real Girl,Ayado, Sumie,Supporting,Ueda, Reina
3D Kanojo: Real Girl,Ezomichi,Supporting,Kanda, Sayaka
3D Kanojo: Real Girl,Ishino, Arisa,Supporting,Tsuda, Minami
3D Kanojo: Real Girl,Itou, Yuuto,Supporting,Aoi, Shouta
3D Kanojo: Real Girl,Mabuchi, Shingo,Supporting,Majima, Junji
3D Kanojo: Real Girl,Machida,Supporting,Hiruma, Shunya
3D Kanojo: Real Girl,Mika,Supporting,Maeda, Rena
3D Kanojo: Real Girl,Shun,Supporting,Kishio, Daisuke
3D Kanojo: Real Girl,Takanashi, Anzu,Supporting,Koiwai, Kotori
3D Kanojo: Real Girl,Takanashi, Mitsuya,Supporting,Terashima, Takuma
3D Kanojo: Real Girl,Tsutsui, Kaoru,Supporting,Aoki, Shiki
3D Kanojo: Real Girl,Tsutsui, Kie,Supporting,Tachibana, Yuuko
Hinamatsuri,Hina,Main,Tanaka, Takako
Hinamatsuri,Nitta, Yoshifumi,Main,Nakajima, Yoshiki
Hinamatsuri,Anzu,Supporting,Murakawa, Rie
Hinamatsuri,Atsushi,Supporting,Yashiro, Taku
Hinamatsuri,Baba, Kiyoshi,Supporting,Koyama, Tsuyoshi
Hinamatsuri,Ikaruga, Kei,Supporting,N/A
Hinamatsuri,Kengo,Supporting,Ichikawa, Taichi
Hinamatsuri,Mao,Supporting,Ozawa, Ari
Hinamatsuri,Mishima, Hitomi,Supporting,Hondo, Kaede
Hinamatsuri,Mishima, Minako,Supporting,Sakurai, Harumi
Hinamatsuri,Oyaji,Supporting,Shibata, Hidekatsu
Hinamatsuri,Sabu,Supporting,Kawanishi, Kengo
Hinamatsuri,Shige-san,Supporting,Furukawa, Tomomotsu
Hinamatsuri,Takashi,Supporting,Chikaki, Yuuya
Hinamatsuri,Tanaka,Supporting,Yanagita, Junichi
Hinamatsuri,Utako,Supporting,Hikasa, Yoko
Hinamatsuri,Yassan,Supporting,Tsuji, Shinpachi
Hinamatsuri,Yoshida,Supporting,Takeuchi, Eiji
Devils Line,Anzai, Yuuki,Main,Matsuoka, Yoshitsugu
Devils Line,Taira, Tsukasa,Main,Ishikawa, Yui
Devils Line,Akimura, Shouta,Supporting,Shimono, Hiro
Devils Line,Anzai, Tamaki,Supporting,Miyano, Mamoru
Devils Line,Anzai, Midori,Supporting,Asano, Mayumi
Devils Line,Asami, Yousuke,Supporting,Okitsu, Kazuyuki
Devils Line,Ishimaru, Megumi,Supporting,Ishida, Akira
Devils Line,Katagiri, Ryuunosuke,Supporting,Hirakawa, Daisuke
Devils Line,Kikuhara, Kirio,Supporting,Sakurai, Takahiro
Devils Line,Kleemann, Johannes,Supporting,Kimura, Ryouhei
Devils Line,Lloyd, Juliana,Supporting,Sawashiro, Miyuki
Devils Line,Makimura, Takeshi,Supporting,Kamiya, Hiroshi
Devils Line,Murakami, Ren,Supporting,Yamashita, Daiki
Devils Line,Ochiai, Keiji,Supporting,Chiba, Susumu
Devils Line,Sawazaki, Takashi,Supporting,Hosoya, Yoshimasa
Devils Line,Tenjou, Nanako,Supporting,Touyama, Nao
Devils Line,Ushio, Naoya,Supporting,Osaka, Ryota
Devils Line,Weather Girl,Supporting,Kiyoto, Arisa
Devils Line,Yanagi, Ryuusei,Supporting,Hino, Satoshi
Devils Line,Yoshii, Kenichi,Supporting,Aoi, Shouta
Mahou Shoujo Site,Anazawa, Nijimi,Main,Serizawa, Yuu
Mahou Shoujo Site,Asagiri, Aya,Main,Oono, Yuuko
Mahou Shoujo Site,Shioi, Rina,Main,Suzuki, Aina
Mahou Shoujo Site,Shizukume, Sarina,Main,Yamazaki, Haruka
Mahou Shoujo Site,Yatsumura, Tsuyuno,Main,Akaneya, Himika
Mahou Shoujo Site,Amagai, Kosame,Supporting,Hara, Yumi
Mahou Shoujo Site,Asagiri, Kaname,Supporting,Okamoto, Nobuhiko
Mahou Shoujo Site,Izumigamine, Mikari,Supporting,Hondo, Kaede
Mahou Shoujo Site,Misumi, Kiichirou,Supporting,Suzuki, Tatsuhisa
Mahou Shoujo Site,Naoto, Keisuke,Supporting,Asato, Yuuya
Mahou Shoujo Site,Ringa, Sayuki,Supporting,Ichimichi, Mao
Mahou Shoujo Site,Site Kanrinin 2,Supporting,Yuuki, Aoi
Mahou Shoujo Site,Site Kanrinin 7,Supporting,Nakao, Ryuusei
Mahou Shoujo Site,Site Kanrinin 8,Supporting,Kizuna, AI
Mahou Shoujo Site,Suirenji, Kiyoharu,Supporting,Matsui, Eriko
Mahou Shoujo Site,Takiguchi, Asahi,Supporting,Lynn
Golden Kamuy,Asirpa,Main,Shiraishi, Haruka
Golden Kamuy,Shiraishi, Yoshitake,Main,Itou, Kentarou
Golden Kamuy,Sugimoto, Saichi,Main,Kobayashi, Chikahiro
Golden Kamuy,Gotou,Supporting,Aoyama, Yutaka
Golden Kamuy,Henmi, Kazuo,Supporting,Seki, Toshihiko
Golden Kamuy,Hijikata, Toshizou,Supporting,Nakata, Jouji
Golden Kamuy,Kiroranke,Supporting,Terasoma, Masaki
Golden Kamuy,Makanakkuru,Supporting,N/A
Golden Kamuy,Nagakura, Shinpachi,Supporting,Sugou, Takayuki
Golden Kamuy,Narrator,Supporting,Tachiki, Fumihiko
Golden Kamuy,Nihei, Tetsuzou,Supporting,Ootsuka, Akio
Golden Kamuy,Nikaidou, Youhei,Supporting,Sugita, Tomokazu
Golden Kamuy,Nikaidou, Kouhei,Supporting,Sugita, Tomokazu
Golden Kamuy,Ogata, Hyakunosuke,Supporting,Tsuda, Kenjirou
Golden Kamuy,Tanigaki, Genjirou,Supporting,Hosoya, Yoshimasa
Golden Kamuy,Toraji,Supporting,Takumi, Yasuaki
Golden Kamuy,Tsurumi,Supporting,Ootsuka, Houchuu
Golden Kamuy,Ushiyama, Tatsuma,Supporting,Nomura, Kenji
Mahou Shoujo Ore,Mikage, Sakuyo,Main,Hatano, Wataru
Mahou Shoujo Ore,Uno, Saki,Main,Ishikawa, Kaito
Mahou Shoujo Ore,Fujimoto, Shigou,Supporting,Seki, Tomokazu
Mahou Shoujo Ore,Fujimoto, Nigou,Supporting,Yamadera, Kouichi
Mahou Shoujo Ore,Fujimoto, Rokugou,Supporting,Ishida, Akira
Mahou Shoujo Ore,Fujimoto, Gogou,Supporting,Iwanaga, Tetsuya
Mahou Shoujo Ore,Fujimoto, Sangou,Supporting,Yuuki, Hiro
Mahou Shoujo Ore,Hyoue,Supporting,Yusa, Kouji
Mahou Shoujo Ore,Kiryuu, Ruka,Supporting,Uchiyama, Yumi
Mahou Shoujo Ore,Kokoro-chan,Supporting,Ichijo, Kazuya
Mahou Shoujo Ore,Mahou Shoujo Eternal Dangerous Pretty,Supporting,Taniyama, Kishou
Mahou Shoujo Ore,Mahou Shoujo Everything Crazy Beauty,Supporting,Suzuki, Tatsuhisa
Mahou Shoujo Ore,Mikage, Mohiro,Supporting,Toyonaga, Toshiyuki
Mahou Shoujo Ore,Ougawa, Michiru,Supporting,Tamura, Yukari
Mahou Shoujo Ore,Uno, Sayori,Supporting,Hisakawa, Aya
Mahou Shoujo Ore,Yamo, Konami,Supporting,Morikubo, Shoutarou
Caligula,µ,Main,Ueda, Reina
Caligula,Minezawa, Izuru,Main,Umehara, Yuuichirou
Caligula,Satake, Shougo,Main,Takeuchi, Shunsuke
Caligula,Shikishima, Ritsu,Main,Sawashiro, Chiharu
Caligula,Aria,Supporting,Shimoda, Asami
Caligula,Ike-P,Supporting,Saitou, Souma
Caligula,Kagi-P,Supporting,Aoi, Shouta
Caligula,Kagura, Suzuna,Supporting,Tanaka, Minami
Caligula,Kashiwaba, Kotono,Supporting,Murakawa, Rie
Caligula,Mirei,Supporting,Nakamura, Eriko
Caligula,Mizuguchi, Marie,Supporting,Fuchigami, Mai
Caligula,Morita, Naruko,Supporting,Ozawa, Ari
Caligula,Shadow Knife,Supporting,Uchida, Yuuma
Caligula,Shinohara, Mifue,Supporting,Takahashi, Rie
Caligula,Shounen Doll,Supporting,Hanamori, Yumiri
Caligula,Sweet-P,Supporting,Nitta, Emi
Caligula,Thorn,Supporting,Ootsubo, Yuka
Caligula,Tomoe, Kotarou,Supporting,Hosoya, Yoshimasa
Comic Girls,Irokawa, Ruki,Main,Oonishi, Saori
Comic Girls,Katsuki, Tsubasa,Main,Takahashi, Rie
Comic Girls,Koizuka, Koyume,Main,Hondo, Kaede
Comic Girls,Moeta, Kaoruko,Main,Akao, Hikaru
Comic Girls,Hanazono, Ririka,Supporting,Endou, Aya
Full Metal Panic! Invisible Victory,Chidori, Kaname,Main,Yukino, Satsuki
Full Metal Panic! Invisible Victory,Mao, Melissa,Main,Keith, Allison
Full Metal Panic! Invisible Victory,Sagara, Sousuke,Main,Seki, Tomokazu
Full Metal Panic! Invisible Victory,Testarossa, Leonard,Main,Shepard, Blake
Full Metal Panic! Invisible Victory,Testarossa, Teletha,Main,Yukana
Full Metal Panic! Invisible Victory,Weber, Kurz,Main,Mignogna, Vic
Full Metal Panic! Invisible Victory,Clouseau, Belfangan,Supporting,Koyama, Rikiya
Full Metal Panic! Invisible Victory,Hayashimizu, Atsunobu,Supporting,Ayres, Christopher
Full Metal Panic! Invisible Victory,Inaba, Mizuki,Supporting,Wiedenheft, Sarah
Full Metal Panic! Invisible Victory,Kagurazaka, Eri,Supporting,Sumrall, Allison
Full Metal Panic! Invisible Victory,Kalinin, Andrei Sergeivich,Supporting,Williams, Kent
Full Metal Panic! Invisible Victory,Mardukas, Richard Henry,Supporting,Stoddard, Mark
Full Metal Panic! Invisible Victory,Mikihara, Ren,Supporting,Shields, Julie
Full Metal Panic! Invisible Victory,Tokiwa, Kyouko,Supporting,Rial, Monica
Full Metal Panic! Invisible Victory,Topas,Supporting,N/A
Ginga Eiyuu Densetsu: Die Neue These - Kaikou,von Lohengramm, Reinhard,Main,Miyano, Mamoru
