Cowboy Bebop,"Spanngen, Ronny",Supporting,"N/A"
Cowboy Bebop,"Spider Mike ",Supporting,"N/A"
Cowboy Bebop,"Taxim, Udai",Supporting,"Hirota, Kousei"
Cowboy Bebop,"Terpsichore, Victoria",Supporting,"Spevack, Melodee M."
Cowboy Bebop,"Thief",Supporting,"Murozono, Takehiro"
Cowboy Bebop,"Tucan",Supporting,"Ooya, Hitoshi"
Cowboy Bebop,"TV Host (Female)",Supporting,"Dodo, Asako"
Cowboy Bebop,"TV Host (Male)",Supporting,"Sugawara, Junichi"
Cowboy Bebop,"Vicious",Supporting,"Wakamoto, Norio"
Cowboy Bebop,"Video Store Owner",Supporting,"Chiba, Shigeru"
Cowboy Bebop,"Von de Oniyate, Andy",Supporting,"Ebara, Masashi"
Cowboy Bebop,"Waiter ",Supporting,"Emshwiller, Peter"
Cowboy Bebop,"Walker, Domino",Supporting,"Genda, Tessyo"
Cowboy Bebop,"Weapon Shop Owner",Supporting,"Fujiwara, Keiji"
Cowboy Bebop,"Wen",Supporting,"Marshall, Mona"
Cowboy Bebop,"White Tiger Representative",Supporting,"Cansino, Richard"
Cowboy Bebop,"Wiles, Tom",Supporting,"Kakegawa, Hirohiko"
Cowboy Bebop,"Yenrai, Mao ",Supporting,"Itou, Kazuaki"
Cowboy Bebop,"Yung, Sally ",Supporting,"Tani, Ikuko"
